contract_version,dataset,target,model,model_label,contrast,candidate_condition,reference_condition,demographic_fields,delta_definition,training_seed_treatment,n_subjects,n_measurements_per_seed,n_training_seeds,training_seeds,reference_seed_mode,seed_17_delta_mae,seed_23_delta_mae,seed_42_delta_mae,seed_delta_mae_sample_sd,delta_mae_candidate_minus_reference,ci_low,ci_high,bootstrap_probability_candidate_better,bootstrap_method,bootstrap_replicates,bootstrap_confidence,bootstrap_seed
source-faithful-v3,PulseDB-Vital,sbp,papagei_s,PaPaGei-S,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,-0.3370819219205293,-0.35835825586486353,-0.3002386991197891,0.02940518188091949,-0.331892958968394,-0.5745726311461635,-0.09116358504919136,0.9967,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1560131507
source-faithful-v3,PulseDB-Vital,sbp,pulseppg,Pulse-PPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,-0.05819657233261277,-0.07183328737807021,-0.03597577114237968,0.01809919645251173,-0.05533521028435422,-0.12445020730791471,0.010487615691329555,0.9529,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,3460237601
source-faithful-v3,BUT PPG,dbp,anyppg,AnyPPG,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,deterministic_reference_reused_across_seeds,-0.40658153413309334,-0.5471980705496012,-0.7173208083275406,0.1556029416762038,-0.5570334710034117,-2.023214719338732,0.6078698874516997,0.7829,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,3859134949
source-faithful-v3,BUT PPG,dbp,papagei_p,PaPaGei-P,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,deterministic_reference_reused_across_seeds,-0.40753967372218725,-0.515890848992421,-0.4522586421400264,0.05445000928635143,-0.4585630549515449,-1.2895881387005985,0.40628202875358876,0.8571,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1102603643
source-faithful-v3,BUT PPG,dbp,papagei_s,PaPaGei-S,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,deterministic_reference_reused_across_seeds,0.2714694134569024,0.2234229574608524,0.2741917050813229,0.02855794851531353,0.25636135866635923,-0.1288103816624297,0.6486378809603536,0.0989,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1198158513
source-faithful-v3,BUT PPG,dbp,pulseppg,Pulse-PPG,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,deterministic_reference_reused_across_seeds,-0.026313789361063936,-0.030875475771399902,-0.030466846487490148,0.0025240128200041552,-0.029218703873317996,-0.563385360560754,0.4988791807805808,0.5437,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,197001256
source-faithful-v3,BUT PPG,sbp,anyppg,AnyPPG,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,deterministic_reference_reused_across_seeds,0.49821864205372535,-0.651432640473872,-0.4180626357683777,0.6076911236531403,-0.19042554472950812,-3.180035473774811,2.65605734006229,0.548,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,3201449361
source-faithful-v3,BUT PPG,sbp,papagei_p,PaPaGei-P,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,deterministic_reference_reused_across_seeds,2.4793356527538375,2.2982544360103847,2.3456570191958392,0.09390366430539053,2.374415702653354,0.2208557484032306,4.379816959974915,0.0166,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,4157500482
source-faithful-v3,BUT PPG,sbp,papagei_s,PaPaGei-S,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,deterministic_reference_reused_across_seeds,3.4992081463485376,3.4521224031880458,3.5738483906011433,0.06138057412943996,3.5083929800459086,1.5539412060537776,5.464278634866865,0.0002,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,438539412
source-faithful-v3,BUT PPG,sbp,pulseppg,Pulse-PPG,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,deterministic_reference_reused_across_seeds,2.0331610632951396,2.013546666474381,1.995755988832247,0.0187099455245201,2.0141545728672554,-0.0629635566146933,4.158045342266486,0.0294,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1528970251
