dataset,target,model,model_label,contrast,candidate_condition,reference_condition,demographic_fields,n_subjects,n_measurements,delta_mae_candidate_minus_reference,ci_low,ci_high,bootstrap_probability_candidate_better,bootstrap_method,bootstrap_replicates,bootstrap_confidence,bootstrap_seed
PulseDB-Vital,dbp,pulseppg,Pulse-PPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,300,3000,-0.8470548655709919,-1.2524719754682987,-0.4461610276812178,1.0,participant_paired_percentile_fixed_oof,10000,0.95,3025091129
PulseDB-Vital,sbp,anyppg,AnyPPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,300,3000,-3.1234518646005367,-3.791951622276315,-2.444898785742052,1.0,participant_paired_percentile_fixed_oof,10000,0.95,2417666215
PulseDB-Vital,sbp,handcrafted_ppg,PPG features,waveform_only_vs_demographics_only,ppg_features,demographics,age/sex/BMI,300,3000,-2.34619619309122,-2.983647531913501,-1.7109389833786097,1.0,participant_paired_percentile_fixed_oof,10000,0.95,2740251841
PulseDB-Vital,sbp,papagei_p,PaPaGei-P,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,300,3000,-1.753022534389242,-2.3495263801454604,-1.170093891591968,1.0,participant_paired_percentile_fixed_oof,10000,0.95,3206237986
PulseDB-Vital,sbp,papagei_s,PaPaGei-S,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,300,3000,-0.9648772167622581,-1.4604642048604903,-0.458730380141814,0.9998,participant_paired_percentile_fixed_oof,10000,0.95,1328864660
PulseDB-Vital,sbp,pulseppg,Pulse-PPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,300,3000,-2.478517163036059,-3.11899451904127,-1.8339272789210466,1.0,participant_paired_percentile_fixed_oof,10000,0.95,1610974999
BUT PPG,dbp,anyppg,AnyPPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,38,66,0.43818210490425225,-0.3543460895931855,1.1859454030837535,0.1326,participant_paired_percentile_fixed_oof,10000,0.95,1017343817
BUT PPG,dbp,handcrafted_ppg,PPG features,waveform_plus_demographics_vs_demographics_only,ppg_features_demographics,demographics,age/sex/BMI,38,66,-0.25232773035962713,-0.7231573157309704,0.2237390456095656,0.8475,participant_paired_percentile_fixed_oof,10000,0.95,1683760289
BUT PPG,dbp,papagei_p,PaPaGei-P,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,38,66,1.0250873289449487,0.195637096993054,1.8265095333295593,0.0084,participant_paired_percentile_fixed_oof,10000,0.95,3789852659
BUT PPG,dbp,papagei_s,PaPaGei-S,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,38,66,-0.3247554091595049,-0.7913143595717621,0.13974170219992707,0.9148,participant_paired_percentile_fixed_oof,10000,0.95,2098494790
BUT PPG,dbp,pulseppg,Pulse-PPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,38,66,0.12097193026180489,-0.4525987269513875,0.7133555185208393,0.3447,participant_paired_percentile_fixed_oof,10000,0.95,3263996340
BUT PPG,sbp,anyppg,AnyPPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,38,66,3.721513513116255,1.8920312968444943,5.703354899224654,0.0,participant_paired_percentile_fixed_oof,10000,0.95,3319413208
