dataset,model,condition,target,preprocessing_policy,padding_policy,padding_required,pretraining_overlap,source_fidelity,contract_version,demographic_fields,seed,n_subjects,n_measurements,mae,rmse,bias,error_std,r2,pearson,calibration_slope,calibration_intercept,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,bias_ci_low,bias_ci_high,error_std_ci_low,error_std_ci_high,r2_ci_low,r2_ci_high,pearson_ci_low,pearson_ci_high,calibration_slope_ci_low,calibration_slope_ci_high,calibration_intercept_ci_low,calibration_intercept_ci_high,n_seeds,aggregation_mode,bootstrap_mode
PulseDB-Vital,papagei_p,finetuned,dbp,official_ppgbp_notebook_equivalent,none,False,source_overlap,source_consistent_adaptation,source-faithful-v3,none,23,300.0,3000.0,9.59446061804126,12.218803734296195,0.28321899096086267,12.215520934467335,0.12366424858767489,0.36197004696655305,0.8134899413779078,11.645403421611235,9.06608117410537,10.131988623441565,11.557934502968378,12.893435260772039,-0.7468107090839208,1.267949921557017,11.543652714572556,12.878157550432697,0.0654652529826427,0.17357957199487442,0.3020762396959778,0.4192927818076772,0.6719038694532635,0.9560553140115752,2.6276056718120078,20.582134143535065,1,single_neural_seed,participant_resample_within_seed
PulseDB-Vital,papagei_p,finetuned,dbp,official_ppgbp_notebook_equivalent,none,False,source_overlap,source_consistent_adaptation,source-faithful-v3,none,42,300.0,3000.0,9.537742244059377,12.178245279168376,0.3060440239608626,12.174399169362925,0.12947231876058085,0.3695404488127424,0.8204740814251749,11.179991481300767,9.02154278037937,10.056132820553735,11.521643443915364,12.867478710953495,-0.7884162346054586,1.36496043158822,11.495627643817675,12.862351480688604,0.06902628114047056,0.18400460330815457,0.3081436666185816,0.4317686239010111,0.6789486087094234,0.9681675878332919,1.8277820701881766,20.053679826755538,1,single_neural_seed,participant_resample_within_seed
PulseDB-Vital,papagei_p,finetuned,sbp,official_ppgbp_notebook_equivalent,none,False,source_overlap,source_consistent_adaptation,source-faithful-v3,none,17,300.0,3000.0,15.244359218466712,19.39762873585805,1.894123929583081,19.3049292957412,0.18024914251642177,0.44829238964179385,0.7978531749763743,22.044340324983388,14.478606106200578,16.021219576512436,18.461986343285357,20.29873834215882,0.33748469153692795,3.43004693925397,18.364400692519514,20.19114966699386,0.11004726311760481,0.24050167275305848,0.39496592933990476,0.4985138110363283,0.6898804179360462,0.9043093734053773,9.76923993368597,34.328959034181416,1,single_neural_seed,participant_resample_within_seed
PulseDB-Vital,papagei_p,finetuned,sbp,official_ppgbp_notebook_equivalent,none,False,source_overlap,source_consistent_adaptation,source-faithful-v3,none,23,300.0,3000.0,15.274845502680856,19.40823326662334,2.8905220469164146,19.191779511758543,0.17935259484827448,0.45388399734236484,0.8315378082773976,17.22682381123889,14.465344715220855,16.017862005339726,18.466904386837328,20.286071832871567,1.3850810491403909,4.436474834094,18.244487859966647,20.025083120097324,0.10983479147713238,0.23934383488143876,0.40256278062541867,0.5049662895903945,0.726081933188813,0.9420419769433998,4.471721724456646,29.592136724354887,1,single_neural_seed,participant_resample_within_seed
PulseDB-Vital,papagei_p,finetuned,sbp,official_ppgbp_notebook_equivalent,none,False,source_overlap,source_consistent_adaptation,source-faithful-v3,none,42,300.0,3000.0,15.334583232138337,19.44312188396918,2.727823895249748,19.250817265544487,0.17639951952717525,0.45204524514481614,0.8066916325334821,20.32514102209583,14.589754950871308,16.16644024953779,18.518293470220108,20.44391019546179,1.2040976633129647,4.380695032850999,18.359603770572903,20.183492012053147,0.10293377452995593,0.24067414920942395,0.3967618801351469,0.5057326653377148,0.698150223575242,0.9154312091014343,7.857283740866312,32.969101847769636,1,single_neural_seed,participant_resample_within_seed
PulseDB-Vital,papagei_p,finetuned_demographics,dbp,official_ppgbp_notebook_equivalent,none,False,source_overlap,source_consistent_adaptation,source-faithful-v3,age/sex/BMI,17,300.0,3000.0,9.45076484794329,12.087717129813761,0.7534357939608626,12.064213190870408,0.14236651615899698,0.39847485245061803,0.7769679579341401,13.615896252050069,8.955505013486606,9.99264548494503,11.41463417548459,12.768195062204125,-0.23764348328307178,1.8577508344702438,11.358165503237887,12.746791398055755,0.07159866684199169,0.19924067281694297,0.3366295095894441,0.45376635550256395,0.6502309685101382,0.8971655182904196,5.780689559026133,21.68444515357961,1,single_neural_seed,participant_resample_within_seed
PulseDB-Vital,papagei_p,finetuned_demographics,dbp,official_ppgbp_notebook_equivalent,none,False,source_overlap,source_consistent_adaptation,source-faithful-v3,age/sex/BMI,23,300.0,3000.0,9.478960927682387,12.160637991252102,0.5163110986275294,12.149672390797951,0.13198771417901045,0.38952982641822803,0.7428572995762818,15.98970058692917,8.972414393452029,10.02096276474141,11.519552619855073,12.902932277507707,-0.540995383704494,1.5766837840845285,11.498484311276831,12.885065773117423,0.06437148313278124,0.18621459187594977,0.32949257934818704,0.4421385267892789,0.6208791526163048,0.8490661890891886,9.231917337225573,23.612293416240824,1,single_neural_seed,participant_resample_within_seed
PulseDB-Vital,papagei_p,finetuned_demographics,dbp,official_ppgbp_notebook_equivalent,none,False,source_overlap,source_consistent_adaptation,source-faithful-v3,age/sex/BMI,42,300.0,3000.0,9.445572959068574,12.102237713833112,0.6825683706275294,12.082973893108575,0.14030478377015676,0.3968594958125142,0.7674700888811619,14.28220607674117,8.937203793529179,9.95098264873821,11.430632310969354,12.801445629586762,-0.3772655017894428,1.6784553368994644,11.40606550886459,12.76949791276786,0.0769423291962024,0.19937206196099375,0.34038598956218874,0.4539565334410198,0.6535199806705746,0.8904084166907599,6.69370969039751,21.623756416767392,1,single_neural_seed,participant_resample_within_seed
PulseDB-Vital,papagei_p,finetuned_demographics,sbp,official_ppgbp_notebook_equivalent,none,False,source_overlap,source_consistent_adaptation,source-faithful-v3,age/sex/BMI,17,300.0,3000.0,15.188844438497249,19.32737900930952,2.626160412249748,19.148129434976948,0.18617594897313916,0.47111085952973947,0.765861031236991,25.272249316391118,14.441029475396212,15.941444312589724,18.391144571064153,20.232109304662234,1.1463773322700483,4.163327311417487,18.211521632565354,20.017581459886703,0.10993928689345357,0.24918946867524133,0.4181822809213515,0.5224627193271126,0.6708256797606525,0.8565625749807314,14.744728681368661,36.379731264710585,1,single_neural_seed,participant_resample_within_seed
PulseDB-Vital,papagei_p,finetuned_demographics,sbp,official_ppgbp_notebook_equivalent,none,False,source_overlap,source_consistent_adaptation,source-faithful-v3,age/sex/BMI,23,300.0,3000.0,15.133500972644386,19.26882464683302,3.0377903075830814,19.027859399248097,0.19109961333551206,0.47645240615988826,0.7912385524744611,21.922738754999646,14.417670456259836,15.932126389628745,18.408149660361104,20.245358346193967,1.464740318183715,4.580610345238931,18.14041312379505,19.950443745586817,0.11817381336644037,0.2559118877131924,0.4261577092167887,0.5272725915638282,0.697351546051845,0.8876335408957021,10.833627847357125,32.80495437035495,1,single_neural_seed,participant_resample_within_seed
